unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
62,H2_RWGS_CO,LE_00063,TECH_00038,PROC_00029,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00018"", ""SRC_00019"", ""SRC_00002"", ""SRC_00020"", ""SRC_00007""]",2026-06-25
63,El_Electrolysis_H2,LE_00064,TECH_00039,PROC_00030,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00003"", ""SRC_00007""]",2026-06-25
64,El_Electrolysis_H2,LE_00065,TECH_00039,PROC_00030,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00003"", ""SRC_00007""]",2026-06-25
65,El_Electrolysis_H2,LE_00066,TECH_00039,PROC_00030,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00003"", ""SRC_00007""]",2026-06-25
66,Syngas_FT_C12,LE_00067,TECH_00040,PROC_00031,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
67,Syngas_FT_C12,LE_00068,TECH_00040,PROC_00031,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
68,Syngas_FT_C12,LE_00069,TECH_00040,PROC_00031,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
69,Syngas_FT_C12,LE_00070,TECH_00040,PROC_00031,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
70,Syngas_FT_C8,LE_00071,TECH_00041,PROC_00031,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
71,Syngas_FT_C8,LE_00072,TECH_00041,PROC_00031,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
72,Syngas_FT_C8,LE_00073,TECH_00041,PROC_00031,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
73,Syngas_FT_C8,LE_00074,TECH_00041,PROC_00031,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-25
74,Syngas_COHydro_CH4,LE_00075,TECH_00042,PROC_00026,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
75,Syngas_COHydro_CH4,LE_00076,TECH_00042,PROC_00026,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
76,Syngas_COHydro_CH4,LE_00077,TECH_00042,PROC_00026,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
77,Syngas_COHydro_CH4,LE_00078,TECH_00042,PROC_00026,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
78,Syngas_COHydro_MeOH,LE_00079,TECH_00043,PROC_00028,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
79,Syngas_COHydro_MeOH,LE_00080,TECH_00043,PROC_00028,GEO_ECA,TIME_2040,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
80,Syngas_COHydro_MeOH,LE_00081,TECH_00043,PROC_00028,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00016"", ""SRC_00002""]",2026-06-25
81,MSW_Gasification_Syngas,LE_00082,TECH_00044,PROC_00032,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00007""]",2026-06-25
82,MSW_Gasification_H2,LE_00083,TECH_00045,PROC_00032,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00007""]",2026-06-25
83,Wood_Gasification_H2,LE_00084,TECH_00046,PROC_00032,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00022"", ""SRC_00007""]",2026-06-25
84,Wood_Gasification_Syngas,LE_00085,TECH_00047,PROC_00032,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00007""]",2026-06-25
85,MeOH_MtJ_C12,LE_00086,TECH_00048,PROC_00033,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
86,MeOH_MtJ_C12,LE_00087,TECH_00048,PROC_00033,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
87,El_CoElectrolysis_Syngas,LE_00088,TECH_00049,PROC_00034,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
88,El_CoElectrolysis_Syngas,LE_00089,TECH_00049,PROC_00034,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
89,CH4_Pyrolysis_H2,LE_00090,TECH_00050,PROC_00035,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
90,CH4_Pyrolysis_H2,LE_00091,TECH_00050,PROC_00035,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,[],2026-06-25
91,CO2Flue_AmineScrub_CO2,LE_00092,TECH_00051,PROC_00036,GEO_ECA,TIME_2025,CAP_20000_KG_H,BOUND_PLANT_EXTENSION_READY_TO_OPERATE,"[""SRC_00023""]",2026-06-25
92,BioWet_Pyrolysis_Biochar,LE_00093,TECH_00052,PROC_00037,GEO_ECA,TIME_2025,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00024""]",2026-06-25
93,Air_DAC_CO2,LE_00094,TECH_00053,PROC_00038,GEO_ECA,TIME_2030,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00019""]",2026-06-25
94,Air_DAC_CO2,LE_00095,TECH_00053,PROC_00038,GEO_ECA,TIME_2050,,BOUND_PLANT_READY_TO_OPERATE,"[""SRC_00019""]",2026-06-25
95,CO2Flue_PSA_CO2,LE_00096,TECH_00054,PROC_00039,GEO_ECA,TIME_2030,CAP_20000_KG_H,BOUND_PLANT_EXTENSION_READY_TO_OPERATE,"[""SRC_00023""]",2026-06-25
96,CO2Flue_PSA_CO2,LE_00097,TECH_00054,PROC_00039,GEO_ECA,TIME_2040,CAP_20000_KG_H,BOUND_PLANT_EXTENSION_READY_TO_OPERATE,"[""SRC_00023""]",2026-06-25
97,CO2Flue_PSA_CO2,LE_00098,TECH_00054,PROC_00039,GEO_ECA,TIME_2050,CAP_20000_KG_H,BOUND_PLANT_EXTENSION_READY_TO_OPERATE,"[""SRC_00023""]",2026-06-25
